Gameweek,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Robert,53,85,122,169,203,230,256,288,316,338,359,410,469,508,551,598,650,676,722,752,793,829,867,916,964,1029,1051,1096,1153,1166,1223,1264,1302,1351,1381,1477,1499,1544
Phillip,38,112,162,221,253,291,320,369,413,456,503,555,580,613,652,675,714,756,787,855,907,965,1010,1074,1120,1155,1179,1223,1276,1280,1323,1369,1421,1464,1502,1594,1630,1657
Kenn,48,98,139,208,253,295,331,378,430,465,498,543,574,601,648,683,727,777,827,851,905,950,990,1041,1092,1170,1209,1303,1370,1405,1470,1526,1580,1635,1682,1759,1799,1872
Max,43,98,146,174,212,238,268,308,360,401,447,483,525,565,595,618,638,658,701,744,767,811,841,886,952,1026,1082,1178,1263,1298,1343,1407,1449,1510,1556,1657,1707,1771
Efgen,44,82,121,163,197,252,291,332,379,423,470,515,575,619,658,706,731,773,790,820,865,900,923,937,983,1019,1044,1112,1180,1198,1217,1239,1281,1323,1355,1421,1454,1479
LaMar,48,82,129,160,189,225,263,335,371,412,445,475,517,553,569,603,647,677,710,729,770,815,857,898,928,970,1016,1092,1133,1162,1184,1208,1255,1319,1361,1406,1454,1505
Kyle,60,127,180,210,273,325,358,391,457,491,535,581,623,678,713,777,817,850,881,908,942,977,1010,1041,1082,1151,1198,1281,1339,1360,1417,1443,1508,1547,1598,1665,1752,1809
Destiny,18,64,89,134,164,207,234,273,306,327,349,405,439,479,504,541,584,621,689,704,758,796,859,917,946,1020,1038,1083,1146,1156,1202,1230,1264,1302,1331,1396,1418,1454
