Gameweek,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Robert,9,-8.5,-14,-10.875,-15,-27.875,-34.125,-46.25,-63,-76.125,-91.75,-85.875,-68.75,-69,-60.25,-52.125,-38.5,-47.5,-41.375,-43.375,-45.375,-51.375,-52.625,-47.75,-44.375,-38.5,-51.125,-75,-79.5,-87.125,-74.375,-71.75,-80.5,-80.375,-89.75,-69.875,-90.125,-92.375
Phillip,-6,18.5,26,41.125,35,33.125,29.875,34.75,34,41.875,52.25,59.125,42.25,36,40.75,24.875,25.5,32.5,23.625,59.625,68.625,84.625,90.375,110.25,111.625,87.5,76.875,52,43.5,26.875,25.625,33.25,38.5,32.625,31.25,47.125,40.875,20.625
Kenn,4,4.5,3,28.125,35,37.125,40.875,43.75,51,50.875,47.25,47.125,36.25,24,36.75,32.875,38.5,53.5,63.625,55.625,66.625,69.625,70.375,77.25,83.625,102.5,106.875,132,137.5,151.875,172.625,190.25,197.5,203.625,211.25,212.125,209.875,235.625
Max,-1,4.5,10,-5.875,-6,-19.875,-22.125,-26.25,-19,-13.125,-3.75,-12.875,-12.75,-12,-16.25,-32.125,-50.5,-65.5,-62.375,-51.375,-71.375,-69.375,-78.625,-77.75,-56.375,-41.5,-20.125,7,30.5,44.875,45.625,71.25,66.5,78.625,85.25,110.125,117.875,134.625
Efgen,0,-11.5,-15,-16.875,-21,-5.875,0.875,-2.25,0,8.875,19.25,19.125,37.25,42,46.75,55.875,42.5,49.5,26.625,24.625,26.625,19.625,3.375,-26.75,-25.375,-48.5,-58.125,-59,-52.5,-55.125,-80.375,-96.75,-101.5,-108.375,-115.75,-125.875,-135.125,-157.375
LaMar,4,-11.5,-7,-19.875,-29,-32.875,-27.125,0.75,-8,-2.125,-5.75,-20.875,-20.75,-24,-42.25,-47.125,-41.5,-46.5,-53.375,-66.375,-68.375,-65.375,-62.625,-65.75,-80.375,-97.5,-86.125,-79,-99.5,-91.125,-113.375,-127.75,-127.5,-112.375,-109.75,-140.875,-135.125,-131.375
Kyle,16,33.5,44,30.125,55,67.125,67.875,56.75,78,76.875,84.25,85.125,85.25,101,101.75,126.875,128.5,126.5,117.625,112.625,103.625,96.625,90.375,77.25,73.625,83.5,95.875,110,106.5,106.875,119.625,107.25,125.5,115.625,127.25,118.125,162.875,172.625
Destiny,-26,-29.5,-47,-45.875,-54,-50.875,-56.125,-61.25,-73,-87.125,-101.75,-90.875,-98.75,-98,-107.25,-109.125,-104.5,-102.5,-74.375,-91.375,-80.375,-84.375,-60.625,-46.75,-62.375,-47.5,-64.125,-88,-86.5,-97.125,-95.375,-105.75,-118.5,-129.375,-139.75,-150.875,-171.125,-182.375
